school,college,major,entry_year,course_name,course_type,credits,hours,semester,total_credits
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,中国近现代史纲要,必修,2,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,中国共产党历史,必修,1,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,中华人民共和国史,必修,1,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,改革开放史,必修,1,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,社会主义发展史,必修,1,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,马克思主义基本原理,必修,3,,3,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,体育模块II,必修,1,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,体育模块III,必修,0.5,,3,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,体育模块IV,必修,0.5,,4,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,卫生保健,必修,1,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,高等数学(工科类)I,必修,6,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,线性代数,必修,3,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,高等数学(工科类)II,必修,6,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,概率论,必修,3,,3,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,数理统计,必修,3,,4,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,形势与政策,必修,1,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,思想道德与法治,必修,3,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,军事理论,必修,2,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,毛泽东思想和中国特色社会主义理论体系概论,必修,2,,3,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,习近平新时代中国特色社会主义思想概论,必修,3,,4,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,经济管理中的计算机应用,必修,2,,4,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,英语模块II,必修,4,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,英语模块III,必修,2,,3,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,通识模块二(哲学思辨与伦理规范)限选课,选修,2,,,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,通识模块三(艺术修养与运动健康)限选课,选修,2,,,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,通识模块四(经济分析与数学思维)限选课,选修,2,,,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,通识模块五(社会分析与公民素养)限选课,选修,2,,,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,通识模块六(科技进步与科学精神)限选课,选修,2,,,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,通识模块七(语言与跨文化沟通)限选课,选修,2,,,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,通识选修课,选修,8,,3,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,程序设计基础,必修,4,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,数字电子技术,必修,2,,1,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,离散数学,必修,3,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,高级程序设计与实验,必修,4,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,数据结构,必修,4,,3,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,政治经济学,选修,2,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,Python 程序设计,选修,2,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,普通物理,选修,3,,2,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,运筹学,选修,4,,4,153
上海财经大学,信息管理与工程学院,计算机科学与技术,2025,汇编语言,选修,3,,4,153
