school,college,major,entry_year,course_name,course_type,credits,hours,semester,total_credits
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,思想道德与法治,必修,3,51,1,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,形势与政策I,必修,0.5,8,1,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,程序设计（C语言）,必修,3,51,1,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,线性代数,必修,3,51,1,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,高等数学Ⅰ,必修,5,85,1,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,体育I,限选,1,36,1,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,中国近现代史纲要,必修,3,51,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,形势与政策II,必修,0.5,8,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,面向对象程序设计(Java SE),必修,3,51,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,离散数学,必修,3,51,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,高等数学Ⅱ,必修,5,85,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,大学生心理健康与人生发展,必修,2,34,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,军事理论,必修,2,36,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,国家安全教育,必修,1,16,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,数据结构（C语言）,必修,3,51,2,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,马克思主义基本原理,必修,3,51,3,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,形势与政策III,必修,0.5,8,3,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,计算机网络,必修,3,51,3,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,算法分析与设计,必修,3,51,3,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,数字逻辑电路,必修,3,51,3,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,大学物理,必修,3,51,3,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,概率论与数理统计B,必修,4,68,3,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,毛泽东思想和中国特色社会主义理论体系概论,必修,3,51,4,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,形势与政策IV,必修,0.5,8,4,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,数据库原理与应用,必修,3,51,4,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,机器学习与数据挖掘,必修,4,68,4,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,计算机组成原理,必修,3,51,4,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,大学物理实验,必修,2,34,4,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,习近平新时代中国特色社会主义思想概论,必修,3,51,5,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,操作系统,必修,3,51,5,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,软件工程,必修,3,51,5,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,大数据技术,必修,3,51,5,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,编译原理,必修,4,68,6,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,数字图像处理,必修,3,51,6,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,Java EE开发实践,限选,2,34,4,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,移动应用开发实践,限选,2,34,6,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,毕业实习,必修,4,0,8,151
西南财经大学,计算机与人工智能学院,计算机科学与技术,2025,毕业论文,必修,6,0,8,151
